,sensor_id,sensor_name,sens_event,activity,act_event
2003-04-19 02:56:53,,,,Toileting,Start
2003-04-19 03:09:01,137.0,Door_137,ON,,
2003-04-19 03:09:46,137.0,Door_137,OFF,,
2003-04-19 03:21:30,,,,Toileting,End
2003-04-19 04:58:23,75.0,Light switch_75,ON,,
2003-04-19 04:58:29,115.0,Microwave_115,ON,,
2003-04-19 04:58:32,115.0,Microwave_115,OFF,,
2003-04-19 04:58:43,74.0,Refrigerator_74,ON,,
2003-04-19 04:58:50,74.0,Refrigerator_74,OFF,,
2003-04-19 04:58:57,,,,Toileting,Start
2003-04-19 05:01:05,114.0,Drawer_114,ON,,
2003-04-19 05:01:23,114.0,Drawer_114,OFF,,
2003-04-19 05:01:49,74.0,Refrigerator_74,ON,,
2003-04-19 05:01:53,74.0,Refrigerator_74,OFF,,
2003-04-19 05:02:05,114.0,Drawer_114,ON,,
2003-04-19 05:02:07,114.0,Drawer_114,OFF,,
2003-04-19 05:02:24,84.0,Garbage disposal_84,ON,,
2003-04-19 05:02:35,115.0,Microwave_115,ON,,
2003-04-19 05:02:41,115.0,Microwave_115,OFF,,
2003-04-19 05:04:08,109.0,Light switch_109,ON,,
2003-04-19 05:04:20,115.0,Microwave_115,ON,,
2003-04-19 05:04:28,115.0,Microwave_115,OFF,,
2003-04-19 05:04:37,75.0,Light switch_75,OFF,,
2003-04-19 05:04:37,53.0,Light switch_53,ON,,
2003-04-19 05:17:18,75.0,Light switch_75,ON,,
2003-04-19 05:17:55,116.0,Cabinet_116,ON,,
2003-04-19 05:18:08,74.0,Refrigerator_74,ON,,
2003-04-19 05:18:13,74.0,Refrigerator_74,OFF,,
2003-04-19 05:18:35,53.0,Light switch_53,OFF,,
2003-04-19 05:18:39,142.0,Cabinet_142,ON,,
2003-04-19 05:18:45,142.0,Cabinet_142,OFF,,
2003-04-19 05:19:33,137.0,Door_137,ON,,
2003-04-19 05:21:01,138.0,Cabinet_138,ON,,
2003-04-19 05:21:37,137.0,Door_137,OFF,,
2003-04-19 05:21:39,53.0,Light switch_53,ON,,
2003-04-19 05:21:55,74.0,Refrigerator_74,ON,,
2003-04-19 05:22:00,74.0,Refrigerator_74,OFF,,
2003-04-19 05:22:02,84.0,Garbage disposal_84,OFF,,
2003-04-19 05:22:03,84.0,Garbage disposal_84,ON,,
2003-04-19 05:22:36,115.0,Microwave_115,ON,,
2003-04-19 05:22:43,115.0,Microwave_115,OFF,,
2003-04-19 05:22:45,137.0,Door_137,ON,,
2003-04-19 05:23:06,75.0,Light switch_75,OFF,,
2003-04-19 05:23:06,53.0,Light switch_53,OFF,,
2003-04-19 05:23:19,137.0,Door_137,OFF,,
2003-04-19 05:24:52,137.0,Door_137,ON,,
2003-04-19 05:26:21,137.0,Door_137,OFF,,
2003-04-19 05:29:53,,,,Watching TV,Start
2003-04-19 05:30:15,137.0,Door_137,ON,,
2003-04-19 05:30:15,137.0,Door_137,ON,,
2003-04-19 05:33:34,137.0,Door_137,OFF,,
2003-04-19 05:33:34,137.0,Door_137,OFF,,
2003-04-19 05:37:49,137.0,Door_137,ON,,
2003-04-19 05:37:49,137.0,Door_137,ON,,
2003-04-19 05:40:38,98.0,Light switch_98,ON,,
2003-04-19 05:40:38,98.0,Light switch_98,ON,,
2003-04-19 05:40:50,137.0,Door_137,OFF,,
2003-04-19 05:40:50,137.0,Door_137,OFF,,
2003-04-19 05:41:17,141.0,TV_141,ON,,
2003-04-19 05:41:17,141.0,TV_141,ON,,
2003-04-19 05:41:21,141.0,TV_141,OFF,,
2003-04-19 05:41:21,141.0,TV_141,OFF,,
2003-04-19 05:41:25,141.0,TV_141,ON,,
2003-04-19 05:41:25,141.0,TV_141,ON,,
2003-04-19 05:41:28,141.0,TV_141,OFF,,
2003-04-19 05:41:28,141.0,TV_141,OFF,,
2003-04-19 05:41:45,116.0,Cabinet_116,OFF,,
2003-04-19 05:42:32,137.0,Door_137,ON,,
2003-04-19 05:42:32,137.0,Door_137,ON,,
2003-04-19 05:43:12,141.0,TV_141,ON,,
2003-04-19 05:43:12,141.0,TV_141,ON,,
2003-04-19 05:43:15,141.0,TV_141,OFF,,
2003-04-19 05:43:15,141.0,TV_141,OFF,,
2003-04-19 05:43:21,141.0,TV_141,ON,,
2003-04-19 05:43:21,141.0,TV_141,ON,,
2003-04-19 05:43:24,141.0,TV_141,OFF,,
2003-04-19 05:43:24,141.0,TV_141,OFF,,
2003-04-19 05:43:48,141.0,TV_141,ON,,
2003-04-19 05:43:48,141.0,TV_141,ON,,
2003-04-19 05:43:49,141.0,TV_141,OFF,,
2003-04-19 05:43:49,141.0,TV_141,OFF,,
2003-04-19 05:43:50,141.0,TV_141,ON,,
2003-04-19 05:43:50,141.0,TV_141,ON,,
2003-04-19 05:43:51,141.0,TV_141,OFF,,
2003-04-19 05:43:51,141.0,TV_141,OFF,,
2003-04-19 05:43:58,141.0,TV_141,ON,,
2003-04-19 05:43:58,141.0,TV_141,ON,,
2003-04-19 05:44:00,141.0,TV_141,OFF,,
2003-04-19 05:44:00,141.0,TV_141,OFF,,
2003-04-19 05:44:01,141.0,TV_141,ON,,
2003-04-19 05:44:01,141.0,TV_141,ON,,
2003-04-19 05:44:02,141.0,TV_141,OFF,,
2003-04-19 05:44:02,141.0,TV_141,OFF,,
2003-04-19 05:44:15,141.0,TV_141,ON,,
2003-04-19 05:44:15,141.0,TV_141,ON,,
2003-04-19 05:44:17,141.0,TV_141,OFF,,
2003-04-19 05:44:17,141.0,TV_141,OFF,,
2003-04-19 05:44:23,141.0,TV_141,ON,,
2003-04-19 05:44:23,141.0,TV_141,ON,,
2003-04-19 05:44:25,141.0,TV_141,OFF,,
2003-04-19 05:44:25,141.0,TV_141,OFF,,
2003-04-19 05:44:36,137.0,Door_137,OFF,,
2003-04-19 05:44:36,137.0,Door_137,OFF,,
2003-04-19 05:45:08,110.0,Light switch_110,ON,,
2003-04-19 05:45:08,110.0,Light switch_110,ON,,
2003-04-19 05:45:37,137.0,Door_137,ON,,
2003-04-19 05:45:37,137.0,Door_137,ON,,
2003-04-19 05:47:07,109.0,Light switch_109,OFF,,
2003-04-19 05:47:37,137.0,Door_137,OFF,,
2003-04-19 05:47:37,137.0,Door_137,OFF,,
2003-04-19 05:47:43,137.0,Door_137,ON,,
2003-04-19 05:47:43,137.0,Door_137,ON,,
2003-04-19 05:48:23,112.0,Toilet Flush_112,ON,,
2003-04-19 05:48:23,112.0,Toilet Flush_112,ON,,
2003-04-19 05:48:34,109.0,Light switch_109,ON,,
2003-04-19 05:48:34,109.0,Light switch_109,ON,,
2003-04-19 05:50:38,106.0,Light switch_106,ON,,
2003-04-19 05:50:38,106.0,Light switch_106,ON,,
2003-04-19 05:50:48,137.0,Door_137,OFF,,
2003-04-19 05:50:48,137.0,Door_137,OFF,,
2003-04-19 05:51:53,137.0,Door_137,ON,,
2003-04-19 05:51:53,137.0,Door_137,ON,,
2003-04-19 05:52:07,137.0,Door_137,OFF,,
2003-04-19 05:52:07,137.0,Door_137,OFF,,
2003-04-19 05:52:12,137.0,Door_137,ON,,
2003-04-19 05:52:12,137.0,Door_137,ON,,
2003-04-19 05:52:15,137.0,Door_137,OFF,,
