,sensor_id,sensor_name,sens_event,activity,act_event
2003-03-27 06:42:04,,,,Toileting,Start
2003-03-27 06:43:40,67.0,Cabinet_67,ON,,
2003-03-27 06:43:43,67.0,Cabinet_67,OFF,,
2003-03-27 06:44:06,100.0,Toilet Flush_100,ON,,
2003-03-27 06:44:20,101.0,Light switch_101,ON,,
2003-03-27 06:44:35,57.0,Medicine cabinet_57,ON,,
2003-03-27 06:44:36,58.0,Medicine cabinet_58,ON,,
2003-03-27 06:44:48,57.0,Medicine cabinet_57,OFF,,
2003-03-27 06:44:48,58.0,Medicine cabinet_58,OFF,,
2003-03-27 06:44:49,67.0,Cabinet_67,ON,,
2003-03-27 06:44:56,67.0,Cabinet_67,OFF,,
2003-03-27 06:45:45,82.0,Drawer_82,ON,,
2003-03-27 06:45:48,82.0,Drawer_82,OFF,,
2003-03-27 06:45:55,,,,Toileting,End
2003-03-27 06:46:12,71.0,Drawer_71,ON,,
2003-03-27 06:46:20,71.0,Drawer_71,OFF,,
2003-03-27 06:50:08,,,,Preparing breakfast,Start
2003-03-27 06:51:43,80.0,Cabinet_80,ON,,
2003-03-27 06:51:46,80.0,Cabinet_80,OFF,,
2003-03-27 06:54:09,143.0,Microwave_143,ON,,
2003-03-27 06:54:16,55.0,Cabinet_55,ON,,
2003-03-27 06:54:19,55.0,Cabinet_55,OFF,,
2003-03-27 06:57:05,54.0,Door_54,ON,,
2003-03-27 06:57:08,54.0,Door_54,OFF,,
2003-03-27 06:57:56,,,,Preparing breakfast,End
2003-03-27 07:01:05,,,,Bathing,Start
2003-03-27 07:04:55,54.0,Door_54,ON,,
2003-03-27 07:04:57,54.0,Door_54,OFF,,
2003-03-27 07:05:22,93.0,Shower faucet_93,ON,,
2003-03-27 07:05:24,93.0,Shower faucet_93,OFF,,
2003-03-27 07:05:39,72.0,Cabinet_72,ON,,
2003-03-27 07:05:57,72.0,Cabinet_72,OFF,,
2003-03-27 07:11:23,67.0,Cabinet_67,ON,,
2003-03-27 07:11:27,67.0,Cabinet_67,OFF,,
2003-03-27 07:12:41,100.0,Toilet Flush_100,OFF,,
2003-03-27 07:16:35,,,,Bathing,End
2003-03-27 07:34:05,57.0,Medicine cabinet_57,ON,,
2003-03-27 07:34:47,100.0,Toilet Flush_100,ON,,
2003-03-27 07:34:56,,,,Dressing,Start
2003-03-27 07:35:27,82.0,Drawer_82,ON,,
2003-03-27 07:35:34,82.0,Drawer_82,OFF,,
2003-03-27 07:35:50,75.0,Drawer_75,ON,,
2003-03-27 07:35:56,75.0,Drawer_75,OFF,,
2003-03-27 07:36:23,82.0,Drawer_82,ON,,
2003-03-27 07:36:27,82.0,Drawer_82,OFF,,
2003-03-27 07:37:18,75.0,Drawer_75,ON,,
2003-03-27 07:37:43,75.0,Drawer_75,OFF,,
2003-03-27 07:37:50,,,,Dressing,End
2003-03-27 07:38:29,,,,Preparing breakfast,Start
2003-03-27 07:38:48,84.0,Drawer_84,ON,,
2003-03-27 07:38:48,84.0,Drawer_84,ON,,
2003-03-27 07:38:51,84.0,Drawer_84,OFF,,
2003-03-27 07:38:51,84.0,Drawer_84,OFF,,
2003-03-27 07:39:07,72.0,Cabinet_72,ON,,
2003-03-27 07:39:14,73.0,Cabinet_73,ON,,
2003-03-27 07:39:17,73.0,Cabinet_73,OFF,,
2003-03-27 07:40:27,72.0,Cabinet_72,OFF,,
2003-03-27 07:40:32,70.0,Dishwasher_70,ON,,
2003-03-27 07:40:34,70.0,Dishwasher_70,OFF,,
2003-03-27 07:40:46,135.0,Drawer_135,ON,,
2003-03-27 07:40:49,135.0,Drawer_135,OFF,,
2003-03-27 07:41:08,91.0,Refrigerator_91,ON,,
2003-03-27 07:41:16,91.0,Refrigerator_91,OFF,,
2003-03-27 07:41:36,73.0,Cabinet_73,ON,,
2003-03-27 07:41:36,73.0,Cabinet_73,ON,,
2003-03-27 07:41:37,73.0,Cabinet_73,OFF,,
2003-03-27 07:41:37,73.0,Cabinet_73,OFF,,
2003-03-27 07:41:49,,,,Preparing breakfast,End
2003-03-27 07:42:26,,,,Grooming,Start
2003-03-27 07:42:38,57.0,Medicine cabinet_57,OFF,,
2003-03-27 07:42:38,58.0,Medicine cabinet_58,ON,,
2003-03-27 07:42:38,58.0,Medicine cabinet_58,ON,,
2003-03-27 07:43:22,88.0,Sink faucet - cold_88,ON,,
2003-03-27 07:43:23,68.0,Sink faucet - hot_68,ON,,
2003-03-27 07:43:48,88.0,Sink faucet - cold_88,OFF,,
2003-03-27 07:43:48,68.0,Sink faucet - hot_68,OFF,,
2003-03-27 07:43:52,58.0,Medicine cabinet_58,OFF,,
2003-03-27 07:43:52,58.0,Medicine cabinet_58,OFF,,
2003-03-27 07:43:52,57.0,Medicine cabinet_57,ON,,
2003-03-27 07:44:06,57.0,Medicine cabinet_57,OFF,,
2003-03-27 07:44:10,57.0,Medicine cabinet_57,ON,,
2003-03-27 07:44:31,,,,Grooming,End
2003-03-27 07:46:34,101.0,Light switch_101,OFF,,
2003-03-27 07:47:41,,,,Going out to work,Start
2003-03-27 07:48:49,140.0,Door_140,ON,,
2003-03-27 07:48:53,140.0,Door_140,OFF,,
2003-03-27 07:51:25,,,,Going out to work,End
2003-03-27 11:31:37,,,,Preparing lunch,Start
2003-03-27 11:35:24,140.0,Door_140,ON,,
2003-03-27 11:35:26,140.0,Door_140,OFF,,
2003-03-27 11:36:15,137.0,Freezer_137,ON,,
2003-03-27 11:36:21,137.0,Freezer_137,OFF,,
2003-03-27 11:36:21,73.0,Cabinet_73,ON,,
2003-03-27 11:36:23,73.0,Cabinet_73,OFF,,
2003-03-27 11:36:39,55.0,Cabinet_55,ON,,
2003-03-27 11:36:48,55.0,Cabinet_55,OFF,,
2003-03-27 11:37:13,94.0,Burner_94,ON,,
2003-03-27 11:38:05,91.0,Refrigerator_91,ON,,
2003-03-27 11:38:10,91.0,Refrigerator_91,OFF,,
2003-03-27 11:38:21,84.0,Drawer_84,ON,,
